starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 05 18:12:46 2023	1699197166	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:46 2023	1699197166	0	14	14	14
Sun Nov 05 18:12:46 2023	1699197166	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:47 2023	1699197167	0	14	14	14
Sun Nov 05 18:12:46 2023	1699197166	0	15	15	15
Sun Nov 05 18:12:45 2023	1699197165	0	15	15	15
Sun Nov 05 18:12:47 2023	1699197167	0	15	15	15
Sun Nov 05 18:12:46 2023	1699197166	0	15	15	15
Sun Nov 05 18:12:47 2023	1699197167	0	15	15	15
Sun Nov 05 18:12:46 2023	1699197166	0	16	16	16
Sun Nov 05 18:12:47 2023	1699197167	0	16	16	16
Sun Nov 05 18:12:46 2023	1699197166	0	16	16	16
Sun Nov 05 18:12:46 2023	1699197166	0	16	16	16
Sun Nov 05 18:12:47 2023	1699197167	0	16	16	16
Sun Nov 05 18:12:46 2023	1699197166	0	16	16	16
Sun Nov 05 18:12:47 2023	1699197167	0	16	16	16
Sun Nov 05 18:12:46 2023	1699197166	0	16	16	16
Sun Nov 05 18:12:46 2023	1699197166	0	17	17	16
Sun Nov 05 18:12:47 2023	1699197167	0	17	17	17
Sun Nov 05 18:12:46 2023	1699197166	0	17	17	17
Sun Nov 05 18:12:47 2023	1699197167	0	18	18	17
Sun Nov 05 18:12:47 2023	1699197167	0	18	18	18
Sun Nov 05 18:12:46 2023	1699197166	0	18	18	18
Sun Nov 05 18:12:46 2023	1699197166	0	18	18	18
Sun Nov 05 18:12:46 2023	1699197166	0	18	18	18
Sun Nov 05 18:12:47 2023	1699197167	0	19	19	19
Sun Nov 05 18:12:47 2023	1699197167	0	19	19	19
Sun Nov 05 18:12:47 2023	1699197167	0	19	19	19
Sun Nov 05 18:12:45 2023	1699197165	0	19	19	19
Sun Nov 05 18:12:46 2023	1699197166	0	20	20	20
Sun Nov 05 18:12:46 2023	1699197166	0	20	20	20
Sun Nov 05 18:12:46 2023	1699197166	0	20	20	20
Sun Nov 05 18:12:47 2023	1699197167	0	21	21	21
Sun Nov 05 18:12:45 2023	1699197165	0	21	21	21
Sun Nov 05 18:12:47 2023	1699197167	0	21	21	21
Sun Nov 05 18:12:46 2023	1699197166	0	21	21	21
Sun Nov 05 18:12:45 2023	1699197165	0	22	22	22
Sun Nov 05 18:12:47 2023	1699197167	0	23	23	22
Sun Nov 05 18:12:46 2023	1699197166	0	23	23	23
Sun Nov 05 18:12:47 2023	1699197167	0	23	23	23
Sun Nov 05 18:12:46 2023	1699197166	0	24	24	24
